# 1191
IMDb ID	Title	Year	Language(s)
tt0045296	Viva Zapata!	1952	English, Spanish
tt0045185	Adventure in Berlin	1952	German
tt0043686	Forbidden Games	1952	French
tt0044837	Limelight	1952	English
tt0045152	Singin' in the Rain	1952	English
tt0044685	Hans Christian Andersen	1952	English
tt0044760	Ivanhoe	1952	English

# 1953
tt0045518	Arrowhead	1953	English
tt0046359	Stalag 17	1953	English, German, Russian
tt0046303	Shane	1953	English
tt0047677	The Wild One	1953	English
tt0046183	Peter Pan	1953	English, American Sign Language
tt0046035	The Man from the Alamo	1953	English
tt0046534	The War of the Worlds	1953	English, Spanish
tt0045793	From Here to Eternity	1953	English
tt0046250	Roman Holiday	1953	English, Italian, German

# 1954
tt0047162	The Last Time I Saw Paris	1954	English
tt0047136	Johnny Guitar	1954	English
tt0047443	Salt of the Earth	1954	English, Spanish
tt0047472	Seven Brides for Seven Brothers	1954	English
tt0047647	Vera Cruz	1954	English, Spanish, French
tt0047296	On the Waterfront	1954	English
tt0047396	Rear Window	1954	English
tt0179068	Aldri annet enn bråk	1954	Norwegian
tt0046672	20,000 Leagues Under the Sea	1954	English
tt0046816	The Caine Mutiny	1954	English
tt0044386	Robinson Crusoe	1954	English, Spanish
tt0047478	Seven Samurai	1954	Japanese
tt0046731	Attila	1954	Italian
tt0047422	River of No Return	1954	English
tt0047013	Garden of Evil	1954	English, Spanish
tt0047437	Sabrina	1954	English, French
tt0046912	Dial M for Murder	1954	English
tt0047834	Animal Farm	1954	English
tt0047528	La Strada	1954	Italian
tt0047313	The Gold of Naples	1954	Italian

# 1955
tt0048728	To Catch a Thief	1955	English, French
tt0047969	Daddy Long Legs	1955	English, French
tt0047795	Abbott and Costello Meet the Mummy	1955	English, French
tt0048729	To Hell and Back	1955	English, German, Italian
tt0048034	The End of the Affair	1955	English
tt0048691	The Tall Men	1955	English, Spanish
tt0508154	Don't Come Back Alive	1955	English
tt0048613	Shree 420	1955	Hindi, Marathi
tt0048021	Rififi	1955	French, Italian, English
tt0048028	East of Eden	1955	English
tt0508270	The Cheney Vase	1955	English
tt0508235	Revenge	1955	English
tt0049096	The Court Jester	1955	English
tt0048545	Rebel Without a Cause	1955	English
tt0048605	The Seven Year Itch	1955	English
tt0048280	Lady and the Tramp	1955	English
tt0048424	The Night of the Hunter	1955	English

# 1956
